Re;Stenosis length [cm];Radius [cm];Stenosis length/Radius;Degree of stenosis;Asymmetry;Pressure difference [dyn/cm^2]
600;3;0.15;20;0.3;1;13722
700;3;0.15;20;0.3;1;17273
800;3;0.15;20;0.3;1;21110
30;3;0.15;20;0.3;0.5;426
50;3;0.15;20;0.3;0.5;697
100;3;0.15;20;0.3;0.5;1460
200;3;0.15;20;0.3;0.5;3162
300;3;0.15;20;0.3;0.5;5222
400;3;0.15;20;0.3;0.5;7596
500;3;0.15;20;0.3;0.5;10337
600;3;0.15;20;0.3;0.5;13366
700;3;0.15;20;0.3;0.5;16752
800;3;0.15;20;0.3;0.5;20402
30;3;0.15;20;0.3;0;425
50;3;0.15;20;0.3;0;697
100;3;0.15;20;0.3;0;1457
200;3;0.15;20;0.3;0;3151
300;3;0.15;20;0.3;0;5193
400;3;0.15;20;0.3;0;7537
500;3;0.15;20;0.3;0;10235
600;3;0.15;20;0.3;0;13208
700;3;0.15;20;0.3;0;16520
800;3;0.15;20;0.3;0;20079
30;4.5;0.15;30;0.3;1;604
50;4.5;0.15;30;0.3;1;986
100;4.5;0.15;30;0.3;1;2044
200;4.5;0.15;30;0.3;1;4319
300;4.5;0.15;30;0.3;1;6966
400;4.5;0.15;30;0.3;1;9948
500;4.5;0.15;30;0.3;1;13356
600;4.5;0.15;30;0.3;1;17108
700;4.5;0.15;30;0.3;1;21300
800;4.5;0.15;30;0.3;1;25822
30;4.5;0.15;30;0.3;0.5;604
50;4.5;0.15;30;0.3;0.5;987
100;4.5;0.15;30;0.3;0.5;2045
200;4.5;0.15;30;0.3;0.5;4317
300;4.5;0.15;30;0.3;0.5;6944
400;4.5;0.15;30;0.3;0.5;9881
500;4.5;0.15;30;0.3;0.5;13206
600;4.5;0.15;30;0.3;0.5;16833
700;4.5;0.15;30;0.3;0.5;20851
800;4.5;0.15;30;0.3;0.5;25153
30;4.5;0.15;30;0.3;0;604
50;4.5;0.15;30;0.3;0;987
100;4.5;0.15;30;0.3;0;2046
200;4.5;0.15;30;0.3;0;4319
300;4.5;0.15;30;0.3;0;6946
400;4.5;0.15;30;0.3;0;9876
500;4.5;0.15;30;0.3;0;13184
600;4.5;0.15;30;0.3;0;16782
700;4.5;0.15;30;0.3;0;20754
800;4.5;0.15;30;0.3;0;24991
300;0.75;0.15;5;0.3;0.5;2517
400;0.75;0.15;5;0.3;0.5;3908
500;0.75;0.15;5;0.3;0.5;5651
600;0.75;0.15;5;0.3;0.5;7727
700;0.75;0.15;5;0.3;0.5;10199
800;0.75;0.15;5;0.3;0.5;12995
30;0.75;0.15;5;0.3;0;157
50;0.75;0.15;5;0.3;0;263
100;0.75;0.15;5;0.3;0;584
200;0.75;0.15;5;0.3;0;1378
300;0.75;0.15;5;0.3;0;2397
400;0.75;0.15;5;0.3;0;3608
500;0.75;0.15;5;0.3;0;5038
600;0.75;0.15;5;0.3;0;6658
700;0.75;0.15;5;0.3;0;8526
800;0.75;0.15;5;0.3;0;10645
30;0.75;0.15;5;0.4;1;227
50;0.75;0.15;5;0.4;1;394
100;0.75;0.15;5;0.4;1;966
200;0.75;0.15;5;0.4;1;2728
300;0.75;0.15;5;0.4;1;5412
400;0.75;0.15;5;0.4;1;8905
500;0.75;0.15;5;0.4;1;13258
600;0.75;0.15;5;0.4;1;18499
700;0.75;0.15;5;0.4;1;24985
800;0.75;0.15;5;0.4;1;32343
30;0.75;0.15;5;0.4;0.5;224
50;0.75;0.15;5;0.4;0.5;385
100;0.75;0.15;5;0.4;0.5;922
200;0.75;0.15;5;0.4;0.5;2487
300;0.75;0.15;5;0.4;0.5;4826
400;0.75;0.15;5;0.4;0.5;7973
500;0.75;0.15;5;0.4;0.5;12008
600;0.75;0.15;5;0.4;0.5;16695
700;0.75;0.15;5;0.4;0.5;22141
800;0.75;0.15;5;0.4;0.5;28090
30;0.75;0.15;5;0.4;0;222
50;0.75;0.15;5;0.4;0;382
100;0.75;0.15;5;0.4;0;905
200;0.75;0.15;5;0.4;0;2367
300;0.75;0.15;5;0.4;0;4445
400;0.75;0.15;5;0.4;0;7102
500;0.75;0.15;5;0.4;0;10534
600;0.75;0.15;5;0.4;0;14957
700;0.75;0.15;5;0.4;0;19748
800;0.75;0.15;5;0.4;0;25453
30;0.375;0.15;2.5;0.4;1;168
50;0.375;0.15;2.5;0.4;1;300
100;0.375;0.15;2.5;0.4;1;790
200;0.375;0.15;2.5;0.4;1;2407
300;0.375;0.15;2.5;0.4;1;5011
400;0.375;0.15;2.5;0.4;1;8526
500;0.375;0.15;2.5;0.4;1;13051
600;0.375;0.15;2.5;0.4;1;18480
700;0.375;0.15;2.5;0.4;1;24949
800;0.375;0.15;2.5;0.4;1;32299
30;0.375;0.15;2.5;0.4;0.5;160
50;0.375;0.15;2.5;0.4;0.5;282
100;0.375;0.15;2.5;0.4;0.5;713
200;0.375;0.15;2.5;0.4;0.5;2094
300;0.375;0.15;2.5;0.4;0.5;4272
400;0.375;0.15;2.5;0.4;0.5;7272
500;0.375;0.15;2.5;0.4;0.5;11133
600;0.375;0.15;2.5;0.4;0.5;15690
700;0.375;0.15;2.5;0.4;0.5;21092
800;0.375;0.15;2.5;0.4;0.5;27254
30;0.375;0.15;2.5;0.4;0;158
50;0.375;0.15;2.5;0.4;0;276
100;0.375;0.15;2.5;0.4;0;673
200;0.375;0.15;2.5;0.4;0;1851
300;0.375;0.15;2.5;0.4;0;3638
400;0.375;0.15;2.5;0.4;0;6386
500;0.375;0.15;2.5;0.4;0;9683
600;0.375;0.15;2.5;0.4;0;13663
700;0.375;0.15;2.5;0.4;0;17542
800;0.375;0.15;2.5;0.4;0;23194
30;1.5;0.15;10;0.4;1;248
50;1.5;0.15;10;0.4;1;410
100;1.5;0.15;10;0.4;1;884
200;1.5;0.15;10;0.4;1;2033
300;1.5;0.15;10;0.4;1;3502
400;1.5;0.15;10;0.4;1;5235
500;1.5;0.15;10;0.4;1;7260
600;1.5;0.15;10;0.4;1;9518
700;1.5;0.15;10;0.4;1;12061
800;1.5;0.15;10;0.4;1;14819
30;1.5;0.15;10;0.4;0.5;247
50;1.5;0.15;10;0.4;0.5;408
100;1.5;0.15;10;0.4;0.5;877
200;1.5;0.15;10;0.4;0.5;1994
300;1.5;0.15;10;0.4;0.5;3407
400;1.5;0.15;10;0.4;0.5;5064
500;1.5;0.15;10;0.4;0.5;6993
600;1.5;0.15;10;0.4;0.5;9137
700;1.5;0.15;10;0.4;0.5;11545
800;1.5;0.15;10;0.4;0.5;14157
30;1.5;0.15;10;0.4;0;247
50;1.5;0.15;10;0.4;0;408
100;1.5;0.15;10;0.4;0;875
200;1.5;0.15;10;0.4;0;1987
300;1.5;0.15;10;0.4;0;3386
400;1.5;0.15;10;0.4;0;5020
500;1.5;0.15;10;0.4;0;6917
600;1.5;0.15;10;0.4;0;9016
700;1.5;0.15;10;0.4;0;11364
800;1.5;0.15;10;0.4;0;13896
30;2.25;0.15;15;0.4;1;500
50;2.25;0.15;15;0.4;1;828
100;2.25;0.15;15;0.4;1;1805
200;2.25;0.15;15;0.4;1;4336
300;2.25;0.15;15;0.4;1;7897
400;2.25;0.15;15;0.4;1;12367
500;2.25;0.15;15;0.4;1;17811
600;2.25;0.15;15;0.4;1;24070
700;2.25;0.15;15;0.4;1;31317
800;2.25;0.15;15;0.4;1;39403
30;2.25;0.15;15;0.4;0.5;499
50;2.25;0.15;15;0.4;0.5;826
100;2.25;0.15;15;0.4;0.5;1796
200;2.25;0.15;15;0.4;0.5;4248
300;2.25;0.15;15;0.4;0.5;7615
400;2.25;0.15;15;0.4;0.5;11817
500;2.25;0.15;15;0.4;0.5;16939
600;2.25;0.15;15;0.4;0.5;22789
700;2.25;0.15;15;0.4;0.5;29280
800;2.25;0.15;15;0.4;0.5;36187
30;2.25;0.15;15;0.4;0;499
50;2.25;0.15;15;0.4;0;825
100;2.25;0.15;15;0.4;0;1791
200;2.25;0.15;15;0.4;0;4189
300;2.25;0.15;15;0.4;0;7393
400;2.25;0.15;15;0.4;0;11322
500;2.25;0.15;15;0.4;0;16054
600;2.25;0.15;15;0.4;0;21449
700;2.25;0.15;15;0.4;0;27629
800;2.25;0.15;15;0.4;0;34434
30;3;0.15;20;0.4;1;640
50;3;0.15;20;0.4;1;1055
100;3;0.15;20;0.4;1;2249
200;3;0.15;20;0.4;1;5122
300;3;0.15;20;0.4;1;8988
400;3;0.15;20;0.4;1;13853
500;3;0.15;20;0.4;1;19826
600;3;0.15;20;0.4;1;26737
700;3;0.15;20;0.4;1;34719
800;3;0.15;20;0.4;1;43527
30;3;0.15;20;0.4;0.5;639
50;3;0.15;20;0.4;0.5;1053
100;3;0.15;20;0.4;0.5;2246
200;3;0.15;20;0.4;0.5;5089
300;3;0.15;20;0.4;0.5;8823
400;3;0.15;20;0.4;0.5;13422
500;3;0.15;20;0.4;0.5;19004
600;3;0.15;20;0.4;0.5;25400
700;3;0.15;20;0.4;0.5;32723
800;3;0.15;20;0.4;0.5;40750
30;3;0.15;20;0.4;0;640
50;3;0.15;20;0.4;0;1055
100;3;0.15;20;0.4;0;2247
200;3;0.15;20;0.4;0;5059
300;3;0.15;20;0.4;0;8676
400;3;0.15;20;0.4;0;13040
500;3;0.15;20;0.4;0;18258
600;3;0.15;20;0.4;0;24185
700;3;0.15;20;0.4;0;30957
800;3;0.15;20;0.4;0;38392
30;4.5;0.15;30;0.4;1;924
50;4.5;0.15;30;0.4;1;1517
100;4.5;0.15;30;0.4;1;3184
200;4.5;0.15;30;0.4;1;6903
300;4.5;0.15;30;0.4;1;11466
400;4.5;0.15;30;0.4;1;16907
500;4.5;0.15;30;0.4;1;23453
600;4.5;0.15;30;0.4;1;30961
700;4.5;0.15;30;0.4;1;39632
800;4.5;0.15;30;0.4;1;49239
30;4.5;0.15;30;0.4;0.5;924
50;4.5;0.15;30;0.4;0.5;1516
100;4.5;0.15;30;0.4;0.5;3179
200;4.5;0.15;30;0.4;0.5;6878
300;4.5;0.15;30;0.4;0.5;11360
400;4.5;0.15;30;0.4;0.5;16604
500;4.5;0.15;30;0.4;0.5;22804
600;4.5;0.15;30;0.4;0.5;29837
700;4.5;0.15;30;0.4;0.5;37907
800;4.5;0.15;30;0.4;0.5;46806
30;4.5;0.15;30;0.4;0;924
50;4.5;0.15;30;0.4;0;1516
100;4.5;0.15;30;0.4;0;3178
200;4.5;0.15;30;0.4;0;6858
300;4.5;0.15;30;0.4;0;11276
400;4.5;0.15;30;0.4;0;16382
500;4.5;0.15;30;0.4;0;22327
600;4.5;0.15;30;0.4;0;28968
700;4.5;0.15;30;0.4;0;36474
800;4.5;0.15;30;0.4;0;44651
30;0.75;0.15;5;0.5;1;370
50;0.75;0.15;5;0.5;1;679
100;0.75;0.15;5;0.5;1;1896
200;0.75;0.15;5;0.5;1;6027
300;0.75;0.15;5;0.5;1;12354
400;0.75;0.15;5;0.5;1;20640
500;0.75;0.15;5;0.5;1;31107
600;0.75;0.15;5;0.5;1;43524
700;0.75;0.15;5;0.5;1;58264
800;0.75;0.15;5;0.5;1;74944
30;0.75;0.15;5;0.5;0.5;361
50;0.75;0.15;5;0.5;0.5;655
100;0.75;0.15;5;0.5;0.5;1786
200;0.75;0.15;5;0.5;0.5;5569
300;0.75;0.15;5;0.5;0.5;11356
400;0.75;0.15;5;0.5;0.5;19056
500;0.75;0.15;5;0.5;0.5;28923
600;0.75;0.15;5;0.5;0.5;40472
700;0.75;0.15;5;0.5;0.5;54082
800;0.75;0.15;5;0.5;0.5;68679
30;0.75;0.15;5;0.5;0;358
50;0.75;0.15;5;0.5;0;642
100;0.75;0.15;5;0.5;0;1669
200;0.75;0.15;5;0.5;0;4883
300;0.75;0.15;5;0.5;0;10337
400;0.75;0.15;5;0.5;0;17235
500;0.75;0.15;5;0.5;0;26018
600;0.75;0.15;5;0.5;0;38021
700;0.75;0.15;5;0.5;0;50658
800;0.75;0.15;5;0.5;0;64775
30;0.375;0.15;2.5;0.5;1;273
50;0.375;0.15;2.5;0.5;1;538
100;0.375;0.15;2.5;0.5;1;1709
200;0.375;0.15;2.5;0.5;1;5832
300;0.375;0.15;2.5;0.5;1;12331
400;0.375;0.15;2.5;0.5;1;20997
500;0.375;0.15;2.5;0.5;1;32038
600;0.375;0.15;2.5;0.5;1;45188
700;0.375;0.15;2.5;0.5;1;60808
800;0.375;0.15;2.5;0.5;1;78537
30;0.375;0.15;2.5;0.5;0.5;253
50;0.375;0.15;2.5;0.5;0.5;488
100;0.375;0.15;2.5;0.5;0.5;1516
200;0.375;0.15;2.5;0.5;0.5;5164
300;0.375;0.15;2.5;0.5;0.5;10940
400;0.375;0.15;2.5;0.5;0.5;18642
500;0.375;0.15;2.5;0.5;0.5;28452
600;0.375;0.15;2.5;0.5;0.5;40122
700;0.375;0.15;2.5;0.5;0.5;53961
800;0.375;0.15;2.5;0.5;0.5;69629
30;0.375;0.15;2.5;0.5;0;250
50;0.375;0.15;2.5;0.5;0;464
100;0.375;0.15;2.5;0.5;0;1277
200;0.375;0.15;2.5;0.5;0;4225
300;0.375;0.15;2.5;0.5;0;9081
400;0.375;0.15;2.5;0.5;0;15144
500;0.375;0.15;2.5;0.5;0;23554
600;0.375;0.15;2.5;0.5;0;33588
700;0.375;0.15;2.5;0.5;0;45666
800;0.375;0.15;2.5;0.5;0;58312
30;1.5;0.15;10;0.5;1;596
50;1.5;0.15;10;0.5;1;1023
100;1.5;0.15;10;0.5;1;2523
200;1.5;0.15;10;0.5;1;7350
300;1.5;0.15;10;0.5;1;14498
400;1.5;0.15;10;0.5;1;23509
500;1.5;0.15;10;0.5;1;34521
600;1.5;0.15;10;0.5;1;47230
700;1.5;0.15;10;0.5;1;61963
800;1.5;0.15;10;0.5;1;78372
30;1.5;0.15;10;0.5;0.5;592
50;1.5;0.15;10;0.5;0.5;1014
100;1.5;0.15;10;0.5;0.5;2453
200;1.5;0.15;10;0.5;0.5;6907
300;1.5;0.15;10;0.5;0.5;13540
400;1.5;0.15;10;0.5;0.5;21979
500;1.5;0.15;10;0.5;0.5;32437
600;1.5;0.15;10;0.5;0.5;44257
700;1.5;0.15;10;0.5;0.5;56827
800;1.5;0.15;10;0.5;0.5;72349
30;1.5;0.15;10;0.5;0;591
50;1.5;0.15;10;0.5;0;1010
100;1.5;0.15;10;0.5;0;2401
200;1.5;0.15;10;0.5;0;6467
300;1.5;0.15;10;0.5;0;12823
400;1.5;0.15;10;0.5;0;20140
500;1.5;0.15;10;0.5;0;30510
600;1.5;0.15;10;0.5;0;40857
700;1.5;0.15;10;0.5;0;53782
800;1.5;0.15;10;0.5;0;68909
30;2.25;0.15;15;0.5;1;838
50;2.25;0.15;15;0.5;1;1404
100;2.25;0.15;15;0.5;1;3210
200;2.25;0.15;15;0.5;1;8604
300;2.25;0.15;15;0.5;1;16767
400;2.25;0.15;15;0.5;1;27235
500;2.25;0.15;15;0.5;1;40134
600;2.25;0.15;15;0.5;1;55112
700;2.25;0.15;15;0.5;1;72547
800;2.25;0.15;15;0.5;1;91999
30;2.25;0.15;15;0.5;0.5;836
50;2.25;0.15;15;0.5;0.5;1401
100;2.25;0.15;15;0.5;0.5;3164
200;2.25;0.15;15;0.5;0.5;8215
300;2.25;0.15;15;0.5;0.5;15824
400;2.25;0.15;15;0.5;0.5;25744
500;2.25;0.15;15;0.5;0.5;38564
600;2.25;0.15;15;0.5;0.5;53430
700;2.25;0.15;15;0.5;0.5;66178
800;2.25;0.15;15;0.5;0.5;82811
30;2.25;0.15;15;0.5;0;835
50;2.25;0.15;15;0.5;0;1400
100;2.25;0.15;15;0.5;0;3154
200;2.25;0.15;15;0.5;0;7900
300;2.25;0.15;15;0.5;0;14653
400;2.25;0.15;15;0.5;0;23212
500;2.25;0.15;15;0.5;0;34120
600;2.25;0.15;15;0.5;0;47374
700;2.25;0.15;15;0.5;0;60047
800;2.25;0.15;15;0.5;0;76893
30;3;0.15;20;0.5;1;1083
50;3;0.15;20;0.5;1;1798
100;3;0.15;20;0.5;1;3939
200;3;0.15;20;0.5;1;9706
300;3;0.15;20;0.5;1;18295
400;3;0.15;20;0.5;1;29358
500;3;0.15;20;0.5;1;43038
600;3;0.15;20;0.5;1;58906
700;3;0.15;20;0.5;1;77310
800;3;0.15;20;0.5;1;97727
30;3;0.15;20;0.5;0.5;1082
50;3;0.15;20;0.5;0.5;1797
100;3;0.15;20;0.5;0.5;3924
200;3;0.15;20;0.5;0.5;9434
300;3;0.15;20;0.5;0.5;17498
400;3;0.15;20;0.5;0.5;28147
500;3;0.15;20;0.5;0.5;41762
600;3;0.15;20;0.5;0.5;57343
700;3;0.15;20;0.5;0.5;74139
800;3;0.15;20;0.5;0.5;88054
30;3;0.15;20;0.5;0;1082
50;3;0.15;20;0.5;0;1797
100;3;0.15;20;0.5;0;3925
200;3;0.15;20;0.5;0;9300
300;3;0.15;20;0.5;0;16669
400;3;0.15;20;0.5;0;25936
500;3;0.15;20;0.5;0;39387
600;3;0.15;20;0.5;0;51739
700;3;0.15;20;0.5;0;67043
800;3;0.15;20;0.5;0;84879
30;4.5;0.15;30;0.5;1;1583
50;4.5;0.15;30;0.5;1;2612
100;4.5;0.15;30;0.5;1;5563
200;4.5;0.15;30;0.5;1;12484
300;4.5;0.15;30;0.5;1;21785
400;4.5;0.15;30;0.5;1;33776
500;4.5;0.15;30;0.5;1;48685
600;4.5;0.15;30;0.5;1;65956
700;4.5;0.15;30;0.5;1;86016
800;4.5;0.15;30;0.5;1;108409
30;4.5;0.15;30;0.5;0.5;1582
50;4.5;0.15;30;0.5;0.5;2610
100;4.5;0.15;30;0.5;0.5;5552
200;4.5;0.15;30;0.5;0.5;12364
300;4.5;0.15;30;0.5;0.5;21181
400;4.5;0.15;30;0.5;0.5;32290
500;4.5;0.15;30;0.5;0.5;46174
600;4.5;0.15;30;0.5;0.5;62435
700;4.5;0.15;30;0.5;0.5;81513
800;4.5;0.15;30;0.5;0.5;102476
30;4.5;0.15;30;0.5;0;1579
50;4.5;0.15;30;0.5;0;2603
100;4.5;0.15;30;0.5;0;5536
200;4.5;0.15;30;0.5;0;12316
300;4.5;0.15;30;0.5;0;20903
400;4.5;0.15;30;0.5;0;31252
500;4.5;0.15;30;0.5;0;43691
600;4.5;0.15;30;0.5;0;57924
700;4.5;0.15;30;0.5;0;74321
800;4.5;0.15;30;0.5;0;92480
30;0.75;0.15;5;0.6;1;748
50;0.75;0.15;5;0.6;1;1485
100;0.75;0.15;5;0.6;1;4614
200;0.75;0.15;5;0.6;1;14938
300;0.75;0.15;5;0.6;1;30627
400;0.75;0.15;5;0.6;1;51218
500;0.75;0.15;5;0.6;1;77238
600;0.75;0.15;5;0.6;1;108033
700;0.75;0.15;5;0.6;1;144393
800;0.75;0.15;5;0.6;1;185398
30;0.75;0.15;5;0.6;0.5;720
50;0.75;0.15;5;0.6;0.5;1405
100;0.75;0.15;5;0.6;0.5;4289
200;0.75;0.15;5;0.6;0.5;13936
300;0.75;0.15;5;0.6;0.5;28813
400;0.75;0.15;5;0.6;0.5;48550
500;0.75;0.15;5;0.6;0.5;73933
600;0.75;0.15;5;0.6;0.5;104667
700;0.75;0.15;5;0.6;0.5;141019
800;0.75;0.15;5;0.6;0.5;181981
30;0.75;0.15;5;0.6;0;706
50;0.75;0.15;5;0.6;0;1360
100;0.75;0.15;5;0.6;0;4078
200;0.75;0.15;5;0.6;0;13368
300;0.75;0.15;5;0.6;0;27917
400;0.75;0.15;5;0.6;0;47357
500;0.75;0.15;5;0.6;0;71938
600;0.75;0.15;5;0.6;0;100986
700;0.75;0.15;5;0.6;0;135251
800;0.75;0.15;5;0.6;0;173872
30;0.375;0.15;2.5;0.6;1;572
50;0.375;0.15;2.5;0.6;1;1235
100;0.375;0.15;2.5;0.6;1;4198
200;0.375;0.15;2.5;0.6;1;14520
300;0.375;0.15;2.5;0.6;1;30967
400;0.375;0.15;2.5;0.6;1;53114
500;0.375;0.15;2.5;0.6;1;81524
600;0.375;0.15;2.5;0.6;1;115517
700;0.375;0.15;2.5;0.6;1;156138
800;0.375;0.15;2.5;0.6;1;202393
30;0.375;0.15;2.5;0.6;0.5;523
50;0.375;0.15;2.5;0.6;0.5;1116
100;0.375;0.15;2.5;0.6;0.5;3777
200;0.375;0.15;2.5;0.6;0.5;13051
300;0.375;0.15;2.5;0.6;0.5;27751
400;0.375;0.15;2.5;0.6;0.5;47467
500;0.375;0.15;2.5;0.6;0.5;72726
600;0.375;0.15;2.5;0.6;0.5;102913
700;0.375;0.15;2.5;0.6;0.5;138850
800;0.375;0.15;2.5;0.6;0.5;179678
30;0.375;0.15;2.5;0.6;0;501
50;0.375;0.15;2.5;0.6;0;1003
100;0.375;0.15;2.5;0.6;0;3210
200;0.375;0.15;2.5;0.6;0;10770
300;0.375;0.15;2.5;0.6;0;24609
400;0.375;0.15;2.5;0.6;0;42460
500;0.375;0.15;2.5;0.6;0;62410
600;0.375;0.15;2.5;0.6;0;92670
700;0.375;0.15;2.5;0.6;0;125403
800;0.375;0.15;2.5;0.6;0;158131
30;1.5;0.15;10;0.6;1;1175
50;1.5;0.15;10;0.6;1;2096
100;1.5;0.15;10;0.6;1;5782
200;1.5;0.15;10;0.6;1;17953
300;1.5;0.15;10;0.6;1;35964
400;1.5;0.15;10;0.6;1;59041
500;1.5;0.15;10;0.6;1;87680
600;1.5;0.15;10;0.6;1;121114
700;1.5;0.15;10;0.6;1;160155
800;1.5;0.15;10;0.6;1;203826
30;1.5;0.15;10;0.6;0.5;1165
50;1.5;0.15;10;0.6;0.5;2062
100;1.5;0.15;10;0.6;0.5;5521
200;1.5;0.15;10;0.6;0.5;17003
300;1.5;0.15;10;0.6;0.5;34291
400;1.5;0.15;10;0.6;0.5;56537
500;1.5;0.15;10;0.6;0.5;83632
600;1.5;0.15;10;0.6;0.5;115397
700;1.5;0.15;10;0.6;0.5;152541
800;1.5;0.15;10;0.6;0.5;193968
30;1.5;0.15;10;0.6;0;1162
50;1.5;0.15;10;0.6;0;2045
100;1.5;0.15;10;0.6;0;5245
200;1.5;0.15;10;0.6;0;15476
300;1.5;0.15;10;0.6;0;30569
400;1.5;0.15;10;0.6;0;50052
500;1.5;0.15;10;0.6;0;74299
600;1.5;0.15;10;0.6;0;100781
700;1.5;0.15;10;0.6;0;135601
800;1.5;0.15;10;0.6;0;177392
30;2.25;0.15;15;0.6;1;1659
50;2.25;0.15;15;0.6;1;2826
100;2.25;0.15;15;0.6;1;6908
200;2.25;0.15;15;0.6;1;20555
300;2.25;0.15;15;0.6;1;41057
400;2.25;0.15;15;0.6;1;67098
500;2.25;0.15;15;0.6;1;99201
600;2.25;0.15;15;0.6;1;136499
700;2.25;0.15;15;0.6;1;180413
800;2.25;0.15;15;0.6;1;229415
30;2.25;0.15;15;0.6;0.5;1653
50;2.25;0.15;15;0.6;0.5;2814
100;2.25;0.15;15;0.6;0.5;6766
200;2.25;0.15;15;0.6;0.5;19651
300;2.25;0.15;15;0.6;0.5;39557
400;2.25;0.15;15;0.6;0.5;65253
500;2.25;0.15;15;0.6;0.5;97227
600;2.25;0.15;15;0.6;0.5;133548
700;2.25;0.15;15;0.6;0.5;172687
800;2.25;0.15;15;0.6;0.5;223058
30;2.25;0.15;15;0.6;0;1651
50;2.25;0.15;15;0.6;0;2809
100;2.25;0.15;15;0.6;0;6628
200;2.25;0.15;15;0.6;0;18125
300;2.25;0.15;15;0.6;0;35374
400;2.25;0.15;15;0.6;0;57517
500;2.25;0.15;15;0.6;0;84704
600;2.25;0.15;15;0.6;0;117319
700;2.25;0.15;15;0.6;0;154952
800;2.25;0.15;15;0.6;0;191384
30;3;0.15;20;0.6;1;2156
50;3;0.15;20;0.6;1;3618
100;3;0.15;20;0.6;1;8266
200;3;0.15;20;0.6;1;22508
300;3;0.15;20;0.6;1;44137
400;3;0.15;20;0.6;1;71714
500;3;0.15;20;0.6;1;105563
600;3;0.15;20;0.6;1;144758
700;3;0.15;20;0.6;1;189965
800;3;0.15;20;0.6;1;239916
30;3;0.15;20;0.6;0.5;2153
50;3;0.15;20;0.6;0.5;3614
100;3;0.15;20;0.6;0.5;8195
200;3;0.15;20;0.6;0.5;21771
300;3;0.15;20;0.6;0.5;42741
400;3;0.15;20;0.6;0.5;69888
500;3;0.15;20;0.6;0.5;100757
600;3;0.15;20;0.6;0.5;137438
700;3;0.15;20;0.6;0.5;180950
800;3;0.15;20;0.6;0.5;224576
30;3;0.15;20;0.6;0;2152
50;3;0.15;20;0.6;0;3611
100;3;0.15;20;0.6;0;8136
200;3;0.15;20;0.6;0;20447
300;3;0.15;20;0.6;0;38447
400;3;0.15;20;0.6;0;62205
500;3;0.15;20;0.6;0;91531
600;3;0.15;20;0.6;0;123532
700;3;0.15;20;0.6;0;164355
800;3;0.15;20;0.6;0;204421
30;4.5;0.15;30;0.6;1;3165
50;4.5;0.15;30;0.6;1;5252
100;4.5;0.15;30;0.6;1;11395
200;4.5;0.15;30;0.6;1;27300
300;4.5;0.15;30;0.6;1;50988
400;4.5;0.15;30;0.6;1;81425
500;4.5;0.15;30;0.6;1;119007
600;4.5;0.15;30;0.6;1;162583
700;4.5;0.15;30;0.6;1;213173
800;4.5;0.15;30;0.6;1;269298
30;4.5;0.15;30;0.6;0.5;3164
50;4.5;0.15;30;0.6;0.5;5251
100;4.5;0.15;30;0.6;0.5;11371
200;4.5;0.15;30;0.6;0.5;26556
300;4.5;0.15;30;0.6;0.5;48312
400;4.5;0.15;30;0.6;0.5;76559
500;4.5;0.15;30;0.6;0.5;111916
600;4.5;0.15;30;0.6;0.5;153395
700;4.5;0.15;30;0.6;0.5;200420
800;4.5;0.15;30;0.6;0.5;245404
30;4.5;0.15;30;0.6;0;3166
50;4.5;0.15;30;0.6;0;5254
100;4.5;0.15;30;0.6;0;11360
200;4.5;0.15;30;0.6;0;26091
300;4.5;0.15;30;0.6;0;45620
400;4.5;0.15;30;0.6;0;69922
500;4.5;0.15;30;0.6;0;100032
600;4.5;0.15;30;0.6;0;135113
700;4.5;0.15;30;0.6;0;176141
800;4.5;0.15;30;0.6;0;223197
30;0.75;0.15;5;0.7;1;2050
50;0.75;0.15;5;0.7;1;4339
100;0.75;0.15;5;0.7;1;14031
200;0.75;0.15;5;0.7;1;46118
300;0.75;0.15;5;0.7;1;95631
400;0.75;0.15;5;0.7;1;161165
500;0.75;0.15;5;0.7;1;244473
600;0.75;0.15;5;0.7;1;343459
700;0.75;0.15;5;0.7;1;460683
800;0.75;0.15;5;0.7;1;593194
30;0.75;0.15;5;0.7;0.5;1975
50;0.75;0.15;5;0.7;0.5;4184
100;0.75;0.15;5;0.7;0.5;13490
200;0.75;0.15;5;0.7;0.5;44810
300;0.75;0.15;5;0.7;0.5;93538
400;0.75;0.15;5;0.7;0.5;158140
500;0.75;0.15;5;0.7;0.5;240215
600;0.75;0.15;5;0.7;0.5;337705
700;0.75;0.15;5;0.7;0.5;451575
800;0.75;0.15;5;0.7;0.5;580831
30;0.75;0.15;5;0.7;0;1870
50;0.75;0.15;5;0.7;0;3840
100;0.75;0.15;5;0.7;0;12343
200;0.75;0.15;5;0.7;0;42080
300;0.75;0.15;5;0.7;0;88098
400;0.75;0.15;5;0.7;0;148131
500;0.75;0.15;5;0.7;0;223087
600;0.75;0.15;5;0.7;0;305242
700;0.75;0.15;5;0.7;0;414568
800;0.75;0.15;5;0.7;0;504317
30;0.375;0.15;2.5;0.7;1;1639
50;0.375;0.15;2.5;0.7;1;3714
100;0.375;0.15;2.5;0.7;1;12832
200;0.375;0.15;2.5;0.7;1;45017
300;0.375;0.15;2.5;0.7;1;96969
400;0.375;0.15;2.5;0.7;1;167715
500;0.375;0.15;2.5;0.7;1;258955
600;0.375;0.15;2.5;0.7;1;368466
700;0.375;0.15;2.5;0.7;1;497974
