Re;Stenosis length [cm];Radius [cm];Stenosis length/Radius;Degree of stenosis;Asymmetry;Pressure difference [dyn/cm^2]
30;3;0.15;20;0;0;196
50;3;0.15;20;0;0;318
100;3;0.15;20;0;0;647
200;3;0.15;20;0;0;1302
300;3;0.15;20;0;0;1985
400;3;0.15;20;0;0;2677
500;3;0.15;20;0;0;3390
600;3;0.15;20;0;0;4105
700;3;0.15;20;0;0;4838
800;3;0.15;20;0;0;5567
30;4.5;0.15;30;0;1;261
50;4.5;0.15;30;0;1;425
100;4.5;0.15;30;0;1;863
200;4.5;0.15;30;0;1;1737
300;4.5;0.15;30;0;1;2648
400;4.5;0.15;30;0;1;3571
500;4.5;0.15;30;0;1;4524
600;4.5;0.15;30;0;1;5480
700;4.5;0.15;30;0;1;6462
800;4.5;0.15;30;0;1;7441
30;4.5;0.15;30;0;0.5;261
50;4.5;0.15;30;0;0.5;425
100;4.5;0.15;30;0;0.5;863
200;4.5;0.15;30;0;0.5;1737
300;4.5;0.15;30;0;0.5;2648
400;4.5;0.15;30;0;0.5;3571
500;4.5;0.15;30;0;0.5;4524
600;4.5;0.15;30;0;0.5;5480
700;4.5;0.15;30;0;0.5;6462
800;4.5;0.15;30;0;0.5;7441
30;4.5;0.15;30;0;0;261
50;4.5;0.15;30;0;0;425
100;4.5;0.15;30;0;0;863
200;4.5;0.15;30;0;0;1737
300;4.5;0.15;30;0;0;2648
400;4.5;0.15;30;0;0;3571
500;4.5;0.15;30;0;0;4524
600;4.5;0.15;30;0;0;5480
700;4.5;0.15;30;0;0;6462
800;4.5;0.15;30;0;0;7441
800;3;0.15;20;0.1;0;7747
30;0.75;0.15;5;0.1;1;109
50;0.75;0.15;5;0.1;1;178
100;0.75;0.15;5;0.1;1;365
200;0.75;0.15;5;0.1;1;750
300;0.75;0.15;5;0.1;1;1162
400;0.75;0.15;5;0.1;1;1584
500;0.75;0.15;5;0.1;1;2023
600;0.75;0.15;5;0.1;1;2466
700;0.75;0.15;5;0.1;1;2923
800;0.75;0.15;5;0.1;1;3381
30;0.75;0.15;5;0.1;0.5;109
50;0.75;0.15;5;0.1;0.5;177
100;0.75;0.15;5;0.1;0.5;364
200;0.75;0.15;5;0.1;0.5;747
300;0.75;0.15;5;0.1;0.5;1157
400;0.75;0.15;5;0.1;0.5;1577
500;0.75;0.15;5;0.1;0.5;2016
600;0.75;0.15;5;0.1;0.5;2459
700;0.75;0.15;5;0.1;0.5;2917
800;0.75;0.15;5;0.1;0.5;3368
30;0.75;0.15;5;0.1;0;107
50;0.75;0.15;5;0.1;0;174
100;0.75;0.15;5;0.1;0;356
200;0.75;0.15;5;0.1;0;730
300;0.75;0.15;5;0.1;0;1129
400;0.75;0.15;5;0.1;0;1542
500;0.75;0.15;5;0.1;0;1980
600;0.75;0.15;5;0.1;0;2430
700;0.75;0.15;5;0.1;0;2903
800;0.75;0.15;5;0.1;0;3358
30;0.375;0.15;2.5;0.1;1;87
50;0.375;0.15;2.5;0.1;1;142
100;0.375;0.15;2.5;0.1;1;291
200;0.375;0.15;2.5;0.1;1;595
300;0.375;0.15;2.5;0.1;1;915
400;0.375;0.15;2.5;0.1;1;1239
500;0.375;0.15;2.5;0.1;1;1574
600;0.375;0.15;2.5;0.1;1;1909
700;0.375;0.15;2.5;0.1;1;2254
800;0.375;0.15;2.5;0.1;1;2598
30;0.375;0.15;2.5;0.1;0.5;87
50;0.375;0.15;2.5;0.1;0.5;142
100;0.375;0.15;2.5;0.1;0.5;291
200;0.375;0.15;2.5;0.1;0.5;594
300;0.375;0.15;2.5;0.1;0.5;911
400;0.375;0.15;2.5;0.1;0.5;1231
500;0.375;0.15;2.5;0.1;0.5;1558
600;0.375;0.15;2.5;0.1;0.5;1884
700;0.375;0.15;2.5;0.1;0.5;2215
800;0.375;0.15;2.5;0.1;0.5;2544
30;0.375;0.15;2.5;0.1;0;87
50;0.375;0.15;2.5;0.1;0;142
100;0.375;0.15;2.5;0.1;0;290
200;0.375;0.15;2.5;0.1;0;592
300;0.375;0.15;2.5;0.1;0;908
400;0.375;0.15;2.5;0.1;0;1227
500;0.375;0.15;2.5;0.1;0;1555
600;0.375;0.15;2.5;0.1;0;1881
700;0.375;0.15;2.5;0.1;0;2214
800;0.375;0.15;2.5;0.1;0;2544
30;1.5;0.15;10;0.1;1;152
50;1.5;0.15;10;0.1;1;248
100;1.5;0.15;10;0.1;1;507
200;1.5;0.15;10;0.1;1;1042
300;1.5;0.15;10;0.1;1;1616
400;1.5;0.15;10;0.1;1;2207
500;1.5;0.15;10;0.1;1;2824
600;1.5;0.15;10;0.1;1;3445
700;1.5;0.15;10;0.1;1;4086
800;1.5;0.15;10;0.1;1;4725
30;1.5;0.15;10;0.1;0.5;152
50;1.5;0.15;10;0.1;0.5;247
100;1.5;0.15;10;0.1;0.5;507
200;1.5;0.15;10;0.1;0.5;1040
300;1.5;0.15;10;0.1;0.5;1615
400;1.5;0.15;10;0.1;0.5;2207
500;1.5;0.15;10;0.1;0.5;2826
600;1.5;0.15;10;0.1;0.5;3452
700;1.5;0.15;10;0.1;0.5;4097
800;1.5;0.15;10;0.1;0.5;4743
30;1.5;0.15;10;0.1;0;152
50;1.5;0.15;10;0.1;0;247
100;1.5;0.15;10;0.1;0;506
200;1.5;0.15;10;0.1;0;1036
300;1.5;0.15;10;0.1;0;1607
400;1.5;0.15;10;0.1;0;2195
500;1.5;0.15;10;0.1;0;2811
600;1.5;0.15;10;0.1;0;3434
700;1.5;0.15;10;0.1;0;4077
800;1.5;0.15;10;0.1;0;4723
30;2.25;0.15;15;0.1;1;196
50;2.25;0.15;15;0.1;1;319
100;2.25;0.15;15;0.1;1;653
200;2.25;0.15;15;0.1;1;1341
300;2.25;0.15;15;0.1;1;2095
400;2.25;0.15;15;0.1;1;2891
500;2.25;0.15;15;0.1;1;3744
600;2.25;0.15;15;0.1;1;4627
700;2.25;0.15;15;0.1;1;5558
800;2.25;0.15;15;0.1;1;6511
30;2.25;0.15;15;0.1;0.5;196
50;2.25;0.15;15;0.1;0.5;319
100;2.25;0.15;15;0.1;0.5;652
200;2.25;0.15;15;0.1;0.5;1337
300;2.25;0.15;15;0.1;0.5;2083
400;2.25;0.15;15;0.1;0.5;2868
500;2.25;0.15;15;0.1;0.5;3706
600;2.25;0.15;15;0.1;0.5;4571
700;2.25;0.15;15;0.1;0.5;5481
800;2.25;0.15;15;0.1;0.5;6411
30;2.25;0.15;15;0.1;0;196
50;2.25;0.15;15;0.1;0;319
100;2.25;0.15;15;0.1;0;652
200;2.25;0.15;15;0.1;0;1338
300;2.25;0.15;15;0.1;0;2087
400;2.25;0.15;15;0.1;0;2875
500;2.25;0.15;15;0.1;0;3718
600;2.25;0.15;15;0.1;0;4589
700;2.25;0.15;15;0.1;0;5506
800;2.25;0.15;15;0.1;0;6443
30;3;0.15;20;0.1;1;240
50;3;0.15;20;0.1;1;390
100;3;0.15;20;0.1;1;796
200;3;0.15;20;0.1;1;1628
300;3;0.15;20;0.1;1;2532
400;3;0.15;20;0.1;1;3483
500;3;0.15;20;0.1;1;4500
600;3;0.15;20;0.1;1;5552
700;3;0.15;20;0.1;1;6661
800;3;0.15;20;0.1;1;7795
30;3;0.15;20;0.1;0.5;240
50;3;0.15;20;0.1;0.5;390
100;3;0.15;20;0.1;0.5;797
200;3;0.15;20;0.1;0.5;1629
300;3;0.15;20;0.1;0.5;2532
400;3;0.15;20;0.1;0.5;3481
500;3;0.15;20;0.1;0.5;4495
600;3;0.15;20;0.1;0.5;5542
700;3;0.15;20;0.1;0.5;6644
800;3;0.15;20;0.1;0.5;7771
30;3;0.15;20;0.1;0;240
50;3;0.15;20;0.1;0;390
100;3;0.15;20;0.1;0;796
200;3;0.15;20;0.1;0;1626
300;3;0.15;20;0.1;0;2527
400;3;0.15;20;0.1;0;3473
500;3;0.15;20;0.1;0;4483
600;3;0.15;20;0.1;0;5526
700;3;0.15;20;0.1;0;6625
30;4.5;0.15;30;0.1;1;326
50;4.5;0.15;30;0.1;1;531
100;4.5;0.15;30;0.1;1;1084
200;4.5;0.15;30;0.1;1;2206
300;4.5;0.15;30;0.1;1;3412
400;4.5;0.15;30;0.1;1;4670
500;4.5;0.15;30;0.1;1;6009
600;4.5;0.15;30;0.1;1;7388
700;4.5;0.15;30;0.1;1;8839
800;4.5;0.15;30;0.1;1;10322
30;4.5;0.15;30;0.1;0.5;327
50;4.5;0.15;30;0.1;0.5;531
100;4.5;0.15;30;0.1;0.5;1084
200;4.5;0.15;30;0.1;0.5;2205
300;4.5;0.15;30;0.1;0.5;3409
400;4.5;0.15;30;0.1;0.5;4664
500;4.5;0.15;30;0.1;0.5;5999
600;4.5;0.15;30;0.1;0.5;7374
700;4.5;0.15;30;0.1;0.5;8821
800;4.5;0.15;30;0.1;0.5;10299
30;4.5;0.15;30;0.1;0;326
50;4.5;0.15;30;0.1;0;531
100;4.5;0.15;30;0.1;0;1083
200;4.5;0.15;30;0.1;0;2202
300;4.5;0.15;30;0.1;0;3402
400;4.5;0.15;30;0.1;0;4654
500;4.5;0.15;30;0.1;0;5986
600;4.5;0.15;30;0.1;0;7359
700;4.5;0.15;30;0.1;0;8804
800;4.5;0.15;30;0.1;0;10281
30;0.75;0.15;5;0.2;1;128
50;0.75;0.15;5;0.2;1;210
100;0.75;0.15;5;0.2;1;444
200;0.75;0.15;5;0.2;1;965
300;0.75;0.15;5;0.2;1;1572
400;0.75;0.15;5;0.2;1;2240
500;0.75;0.15;5;0.2;1;2981
600;0.75;0.15;5;0.2;1;3774
700;0.75;0.15;5;0.2;1;4638
800;0.75;0.15;5;0.2;1;5552
30;0.75;0.15;5;0.2;0.5;127
50;0.75;0.15;5;0.2;0.5;209
100;0.75;0.15;5;0.2;0.5;439
200;0.75;0.15;5;0.2;0.5;950
300;0.75;0.15;5;0.2;0.5;1543
30;0.375;0.15;2.5;0.2;1;99
50;0.375;0.15;2.5;0.2;1;163
100;0.375;0.15;2.5;0.2;1;346
200;0.375;0.15;2.5;0.2;1;758
300;0.375;0.15;2.5;0.2;1;1245
400;0.375;0.15;2.5;0.2;1;1794
500;0.375;0.15;2.5;0.2;1;2421
600;0.375;0.15;2.5;0.2;1;3116
700;0.375;0.15;2.5;0.2;1;3903
800;0.375;0.15;2.5;0.2;1;4774
30;0.375;0.15;2.5;0.2;0.5;98
50;0.375;0.15;2.5;0.2;0.5;161
100;0.375;0.15;2.5;0.2;0.5;340
200;0.375;0.15;2.5;0.2;0.5;738
300;0.375;0.15;2.5;0.2;0.5;1200
400;0.375;0.15;2.5;0.2;0.5;1711
500;0.375;0.15;2.5;0.2;0.5;2285
600;0.375;0.15;2.5;0.2;0.5;2910
700;0.375;0.15;2.5;0.2;0.5;3608
800;0.375;0.15;2.5;0.2;0.5;4369
30;0.375;0.15;2.5;0.2;0;98
50;0.375;0.15;2.5;0.2;0;160
100;0.375;0.15;2.5;0.2;0;338
200;0.375;0.15;2.5;0.2;0;728
300;0.375;0.15;2.5;0.2;0;1179
400;0.375;0.15;2.5;0.2;0;1672
500;0.375;0.15;2.5;0.2;0;2218
600;0.375;0.15;2.5;0.2;0;2803
700;0.375;0.15;2.5;0.2;0;3441
800;0.375;0.15;2.5;0.2;0;4119
30;1.5;0.15;10;0.2;1;187
50;1.5;0.15;10;0.2;1;306
100;1.5;0.15;10;0.2;1;639
200;1.5;0.15;10;0.2;1;1372
300;1.5;0.15;10;0.2;1;2224
400;1.5;0.15;10;0.2;1;3161
500;1.5;0.15;10;0.2;1;4196
600;1.5;0.15;10;0.2;1;5296
700;1.5;0.15;10;0.2;1;6484
800;1.5;0.15;10;0.2;1;7727
30;1.5;0.15;10;0.2;0.5;187
50;1.5;0.15;10;0.2;0.5;306
100;1.5;0.15;10;0.2;0.5;638
200;1.5;0.15;10;0.2;0.5;1364
300;1.5;0.15;10;0.2;0.5;2204
400;1.5;0.15;10;0.2;0.5;3125
500;1.5;0.15;10;0.2;0.5;4139
600;1.5;0.15;10;0.2;0.5;5213
700;1.5;0.15;10;0.2;0.5;6371
800;1.5;0.15;10;0.2;0.5;7580
30;1.5;0.15;10;0.2;0;187
50;1.5;0.15;10;0.2;0;306
100;1.5;0.15;10;0.2;0;637
200;1.5;0.15;10;0.2;0;1362
300;1.5;0.15;10;0.2;0;2199
400;1.5;0.15;10;0.2;0;3117
500;1.5;0.15;10;0.2;0;4127
600;1.5;0.15;10;0.2;0;5196
700;1.5;0.15;10;0.2;0;6348
800;1.5;0.15;10;0.2;0;7548
30;2.25;0.15;15;0.2;1;248
50;2.25;0.15;15;0.2;1;405
100;2.25;0.15;15;0.2;1;840
200;2.25;0.15;15;0.2;1;1783
300;2.25;0.15;15;0.2;1;2880
400;2.25;0.15;15;0.2;1;4096
500;2.25;0.15;15;0.2;1;5449
600;2.25;0.15;15;0.2;1;6895
700;2.25;0.15;15;0.2;1;8465
800;2.25;0.15;15;0.2;1;10112
30;2.25;0.15;15;0.2;0.5;248
50;2.25;0.15;15;0.2;0.5;405
100;2.25;0.15;15;0.2;0.5;838
200;2.25;0.15;15;0.2;0.5;1776
300;2.25;0.15;15;0.2;0.5;2864
400;2.25;0.15;15;0.2;0.5;4070
500;2.25;0.15;15;0.2;0.5;5413
600;2.25;0.15;15;0.2;0.5;6851
700;2.25;0.15;15;0.2;0.5;8413
800;2.25;0.15;15;0.2;0.5;10054
30;2.25;0.15;15;0.2;0;248
50;2.25;0.15;15;0.2;0;405
100;2.25;0.15;15;0.2;0;839
200;2.25;0.15;15;0.2;0;1773
300;2.25;0.15;15;0.2;0;2852
400;2.25;0.15;15;0.2;0;4042
500;2.25;0.15;15;0.2;0;5364
600;2.25;0.15;15;0.2;0;6776
700;2.25;0.15;15;0.2;0;8307
800;2.25;0.15;15;0.2;0;9914
30;3;0.15;20;0.2;1;309
50;3;0.15;20;0.2;1;503
100;3;0.15;20;0.2;1;1039
200;3;0.15;20;0.2;1;2179
300;3;0.15;20;0.2;1;3484
400;3;0.15;20;0.2;1;4918
500;3;0.15;20;0.2;1;6509
600;3;0.15;20;0.2;1;8208
700;3;0.15;20;0.2;1;10050
800;3;0.15;20;0.2;1;11984
30;3;0.15;20;0.2;0.5;309
50;3;0.15;20;0.2;0.5;503
100;3;0.15;20;0.2;0.5;1038
200;3;0.15;20;0.2;0.5;2175
300;3;0.15;20;0.2;0.5;3475
400;3;0.15;20;0.2;0.5;4902
500;3;0.15;20;0.2;0.5;6485
600;3;0.15;20;0.2;0.5;8174
700;3;0.15;20;0.2;0.5;10006
800;3;0.15;20;0.2;0.5;11927
30;3;0.15;20;0.2;0;308
50;3;0.15;20;0.2;0;503
100;3;0.15;20;0.2;0;1037
200;3;0.15;20;0.2;0;2169
300;3;0.15;20;0.2;0;3460
400;3;0.15;20;0.2;0;4875
500;3;0.15;20;0.2;0;6442
600;3;0.15;20;0.2;0;8114
700;3;0.15;20;0.2;0;9925
800;3;0.15;20;0.2;0;11825
30;4.5;0.15;30;0.2;1;430
50;4.5;0.15;30;0.2;1;700
100;4.5;0.15;30;0.2;1;1438
200;4.5;0.15;30;0.2;1;2977
300;4.5;0.15;30;0.2;1;4691
400;4.5;0.15;30;0.2;1;6542
500;4.5;0.15;30;0.2;1;8574
600;4.5;0.15;30;0.2;1;10731
700;4.5;0.15;30;0.2;1;13062
800;4.5;0.15;30;0.2;1;15500
30;4.5;0.15;30;0.2;0.5;430
50;4.5;0.15;30;0.2;0.5;700
100;4.5;0.15;30;0.2;0.5;1438
200;4.5;0.15;30;0.2;0.5;2971
300;4.5;0.15;30;0.2;0.5;4676
400;4.5;0.15;30;0.2;0.5;6513
500;4.5;0.15;30;0.2;0.5;8527
600;4.5;0.15;30;0.2;0.5;10660
700;4.5;0.15;30;0.2;0.5;12963
800;4.5;0.15;30;0.2;0.5;15370
30;4.5;0.15;30;0.2;0;430
50;4.5;0.15;30;0.2;0;700
100;4.5;0.15;30;0.2;0;1438
200;4.5;0.15;30;0.2;0;2973
300;4.5;0.15;30;0.2;0;4677
400;4.5;0.15;30;0.2;0;6512
500;4.5;0.15;30;0.2;0;8521
600;4.5;0.15;30;0.2;0;10643
700;4.5;0.15;30;0.2;0;12925
800;4.5;0.15;30;0.2;0;15335
400;0.75;0.15;5;0.2;0.5;2192
500;0.75;0.15;5;0.2;0.5;2908
600;0.75;0.15;5;0.2;0.5;3669
700;0.75;0.15;5;0.2;0.5;4493
800;0.75;0.15;5;0.2;0.5;5358
30;0.75;0.15;5;0.2;0;127
50;0.75;0.15;5;0.2;0;209
100;0.75;0.15;5;0.2;0;439
200;0.75;0.15;5;0.2;0;950
300;0.75;0.15;5;0.2;0;1542
400;0.75;0.15;5;0.2;0;2190
500;0.75;0.15;5;0.2;0;2905
600;0.75;0.15;5;0.2;0;3663
700;0.75;0.15;5;0.2;0;4483
800;0.75;0.15;5;0.2;0;5342
30;0.75;0.15;5;0.3;1;162
50;0.75;0.15;5;0.3;1;271
100;0.75;0.15;5;0.3;1;604
200;0.75;0.15;5;0.3;1;1445
300;0.75;0.15;5;0.3;1;2554
400;0.75;0.15;5;0.3;1;3909
500;0.75;0.15;5;0.3;1;5777
600;0.75;0.15;5;0.3;1;7854
700;0.75;0.15;5;0.3;1;10240
800;0.75;0.15;5;0.3;1;13002
30;0.75;0.15;5;0.3;0.5;158
50;0.75;0.15;5;0.3;0.5;263
100;0.75;0.15;5;0.3;0.5;585
200;0.75;0.15;5;0.3;0.5;1409
30;0.375;0.15;2.5;0.3;1;119
50;0.375;0.15;2.5;0.3;1;202
100;0.375;0.15;2.5;0.3;1;471
200;0.375;0.15;2.5;0.3;1;1232
300;0.375;0.15;2.5;0.3;1;2380
400;0.375;0.15;2.5;0.3;1;3926
500;0.375;0.15;2.5;0.3;1;5916
600;0.375;0.15;2.5;0.3;1;8286
700;0.375;0.15;2.5;0.3;1;11085
800;0.375;0.15;2.5;0.3;1;14234
30;0.375;0.15;2.5;0.3;0.5;118
50;0.375;0.15;2.5;0.3;0.5;199
100;0.375;0.15;2.5;0.3;0.5;449
200;0.375;0.15;2.5;0.3;0.5;1095
300;0.375;0.15;2.5;0.3;0.5;1980
400;0.375;0.15;2.5;0.3;0.5;3105
500;0.375;0.15;2.5;0.3;0.5;4529
600;0.375;0.15;2.5;0.3;0.5;6222
700;0.375;0.15;2.5;0.3;0.5;8283
800;0.375;0.15;2.5;0.3;0.5;10729
30;0.375;0.15;2.5;0.3;0;118
50;0.375;0.15;2.5;0.3;0;197
100;0.375;0.15;2.5;0.3;0;439
200;0.375;0.15;2.5;0.3;0;1047
300;0.375;0.15;2.5;0.3;0;1849
400;0.375;0.15;2.5;0.3;0;2826
500;0.375;0.15;2.5;0.3;0;4010
600;0.375;0.15;2.5;0.3;0;5378
700;0.375;0.15;2.5;0.3;0;6975
800;0.375;0.15;2.5;0.3;0;8780
30;1.5;0.15;10;0.3;1;247
50;1.5;0.15;10;0.3;1;408
100;1.5;0.15;10;0.3;1;877
200;1.5;0.15;10;0.3;1;1994
300;1.5;0.15;10;0.3;1;3407
400;1.5;0.15;10;0.3;1;5064
500;1.5;0.15;10;0.3;1;6993
600;1.5;0.15;10;0.3;1;9137
700;1.5;0.15;10;0.3;1;11546
800;1.5;0.15;10;0.3;1;14157
30;1.5;0.15;10;0.3;0.5;247
50;1.5;0.15;10;0.3;0.5;408
100;1.5;0.15;10;0.3;0.5;877
200;1.5;0.15;10;0.3;0.5;1994
300;1.5;0.15;10;0.3;0.5;3407
400;1.5;0.15;10;0.3;0.5;5064
500;1.5;0.15;10;0.3;0.5;6993
600;1.5;0.15;10;0.3;0.5;9137
700;1.5;0.15;10;0.3;0.5;11546
800;1.5;0.15;10;0.3;0.5;14157
30;1.5;0.15;10;0.3;0;247
50;1.5;0.15;10;0.3;0;408
100;1.5;0.15;10;0.3;0;875
200;1.5;0.15;10;0.3;0;1987
300;1.5;0.15;10;0.3;0;3386
400;1.5;0.15;10;0.3;0;5021
500;1.5;0.15;10;0.3;0;6917
600;1.5;0.15;10;0.3;0;9016
700;1.5;0.15;10;0.3;0;11364
800;1.5;0.15;10;0.3;0;13896
30;2.25;0.15;15;0.3;1;337
50;2.25;0.15;15;0.3;1;553
100;2.25;0.15;15;0.3;1;1170
200;2.25;0.15;15;0.3;1;2605
300;2.25;0.15;15;0.3;1;4413
400;2.25;0.15;15;0.3;1;6541
500;2.25;0.15;15;0.3;1;9028
600;2.25;0.15;15;0.3;1;11797
700;2.25;0.15;15;0.3;1;14908
800;2.25;0.15;15;0.3;1;18274
30;2.25;0.15;15;0.3;0.5;337
50;2.25;0.15;15;0.3;0.5;553
100;2.25;0.15;15;0.3;0.5;1167
200;2.25;0.15;15;0.3;0.5;2581
300;2.25;0.15;15;0.3;0.5;4337
400;2.25;0.15;15;0.3;0.5;6386
500;2.25;0.15;15;0.3;0.5;8770
600;2.25;0.15;15;0.3;0.5;11418
700;2.25;0.15;15;0.3;0.5;14389
800;2.25;0.15;15;0.3;0.5;17603
30;2.25;0.15;15;0.3;0;336
50;2.25;0.15;15;0.3;0;552
100;2.25;0.15;15;0.3;0;1164
200;2.25;0.15;15;0.3;0;2572
300;2.25;0.15;15;0.3;0;4316
400;2.25;0.15;15;0.3;0;6347
500;2.25;0.15;15;0.3;0;8703
600;2.25;0.15;15;0.3;0;11312
700;2.25;0.15;15;0.3;0;14229
800;2.25;0.15;15;0.3;0;17372
30;3;0.15;20;0.3;1;425
50;3;0.15;20;0.3;1;697
100;3;0.15;20;0.3;1;1458
200;3;0.15;20;0.3;1;3171
300;3;0.15;20;0.3;1;5269
400;3;0.15;20;0.3;1;7712
500;3;0.15;20;0.3;1;10558
